site_id,province,latitude,longitude
ST-2056,Negros Occidental,10.95423,123.3067
ST-3477,Misamis Occidental,8.1505,123.8514
ST-2995,Rizal,14.5056547,121.2897
ST-4066,Misamis Occidental,8.146672,123.847345
ST-0648,Metro Manila,14.56541,121.04657
ST-3129,Antique,11.1947377,122.0375
ST-5160,,0,0
ST-2905,Batangas,14.01747,121.09528
ST-3560,Cagayan,17.6266,121.7388
ST-4834,,0,0
ST-4393,,0,0
ST-3659,Agusan Del Norte,9.1182,125.5354
ST-1678,Iloilo,10.64236,122.2364
ST-3575,Cagayan,18.3501,121.6402
ST-2265,Bulacan,14.86479,120.95759
ST-3038,Aklan,11.9492,121.939
ST-3940,,12.520024,121.438251
ST-2885,Negros Occidental,10.5959,123.4819
ST-3255,Bukidnon,7.8312,124.8288
ST-3039,Surigao Del Sur,8.1835159,126.3563
ST-4685,Zambales,16.30523,119.7825
ST-2820,Bohol,9.64217,123.8542
ST-4651,Rizal,14.690716,121.129429
ST-4812,Davao del Sur,6.709308,125.216393
ST-3352,Metro Manila,14.513,120.9923
ST-4309,Rizal,14.56648,121.123464
ST-1271,Cebu,10.29759,123.8966
ST-2807,Capiz,11.2617,122.5367
ST-3366,Cebu,10.3859,123.9214
ST-4262,Davao Oriental,7.209691,126.533642
ST-3387,Bulacan,14.8435,120.8109
ST-3068,Bulacan,14.8306,120.9448
ST-2378,La Union,16.2411,120.40596
ST-2559,Pangasinan,15.98837,119.87508
ST-2977,Iloilo,10.693818,122.498676
ST-3458,Metro Manila,14.5944691,121.0564
ST-2641,Davao Del Sur,7.06766,125.6178
ST-1117,Metro Manila,14.5112,121.0578
ST-1820,La Union,16.5904,120.3197
ST-2625,Metro Manila,14.62107,121.05675
ST-3454,Metro Manila,14.5753,121.0119
ST-1753,Quezon,13.953,122.2972
ST-2096,Metro Manila,14.6225,121.0583
ST-4545,Pangasinan,15.88283,120.326
ST-4438,Bataan,14.79327,120.5384
ST-4389,Metro Manila,14.43308,121.0129
ST-3389,Lanao Del Norte,8.2818,124.266
ST-3097,Metro Manila,14.4837,121.0447
ST-3632,Oriental Mindoro,13.2644,121.2644
ST-3595,Bulacan,14.9057,121.0389
ST-3237,South Cotabato,6.4303,124.7702
ST-3315,Surigao Del Sur,9.3648,125.9445
ST-3422,Lanao Del Norte,7.897527,123.768922
ST-4703,Bulacan,15.057363,120.938447
ST-4583,,0,0
ST-4870,,0,0
ST-4660,Pangasinan,15.987529,120.363163
ST-5098,,0,0
ST-5367,,0,0
ST-4680,,0,0
ST-1911,Rizal,14.58291,121.12701
ST-4392,Quezon,14.01346688,121.3905034
ST-1803,Pangasinan,15.9538,120.2177
ST-0705,Camarines Sur,13.59665,123.25694
ST-3222,Metro Manila,14.62391,121.054622
ST-2939,Metro Manila,14.5731,121.0438
ST-0429,Cavite,14.0976,120.9197
ST-3305,Sarangani,5.9675,125.2856
ST-4528,Metro Manila,14.62604,121.011
ST-1810,Laguna,14.3647,121.0573
ST-3417,La Union,16.6206,120.3165
ST-3378,Bulacan,14.840192,120.7421
ST-4386,Surigao Del Sur,8.035223728,126.4135992
ST-3523,Iloilo,10.8813,122.4854
ST-1413,Cavite,14.38056,120.83627
ST-3476,Agusan del Sur,8.5458,125.9412
ST-1784,Metro Manila,14.5816,121.04939
