site_id,province,region,down_duration,latitude,longitude
ST-3396,Cagayan,Cagayan Valley (Region II),21:46.1,17.6141,121.7297
ST-3415,Cagayan,Cagayan Valley (Region II),09:48.5,18.2269,121.5585
ST-3466,Cagayan,Cagayan Valley (Region II),17:27.1,18.601,121.0853
ST-3316,Cagayan,Cagayan Valley (Region II),05:03.8,17.6254,121.7198
ST-3686,Camarines Norte,Bicol Region (Region V),23:39.0,14.111221,122.955915
ST-0705,Camarines Sur,Bicol Region (Region V),18:57.4,13.59665,123.25694
ST-5090,Camarines Sur,Bicol Region (Region V),41:58.5,0,0
ST-1494,Camarines Sur,Bicol Region (Region V),47:21.3,13.7487,122.9738
ST-2807,Capiz,Western Visayas (Region VI),49:49.5,11.2617,122.5367
ST-3230,Capiz,Western Visayas (Region VI),18:53.4,11.4953,122.6046
ST-3227,Capiz,Western Visayas (Region VI),18:53.7,11.408,122.5113
ST-2335,Capiz,Western Visayas (Region VI),51:43.2,11.39326,122.68466
ST-3293,Cavite,CALABARZON (Region IV-A),41:58.5,14.3523718,120.901
ST-2039,Cavite,CALABARZON (Region IV-A),48:03.7,14.1875,120.75665
ST-0569,Cavite,CALABARZON (Region IV-A),28:17.1,14.4507,120.9286
ST-3049,Cavite,CALABARZON (Region IV-A),03:34.4,14.1834,120.9609
ST-1691,Cavite,CALABARZON (Region IV-A),37:57.3,14.38515,120.97687
ST-1771,Cavite,CALABARZON (Region IV-A),42:10.7,14.36254,120.89548
ST-4399,Cavite,CALABARZON (Region IV-A),19:01.5,14.32053,120.8941
ST-0429,Cavite,CALABARZON (Region IV-A),19:00.0,14.0976,120.9197
ST-1413,Cavite,CALABARZON (Region IV-A),19:05.1,14.38056,120.83627
ST-0264,Cavite,CALABARZON (Region IV-A),18:23.7,14.2814,120.86838
ST-4760,Cavite,CALABARZON (Region IV-A),49:28.6,14.132191,120.846675
ST-4463,Cavite,CALABARZON (Region IV-A),16:04.8,14.38179,120.8793
ST-3163,Cavite,CALABARZON (Region IV-A),43:38.7,14.2734,120.7538
ST-3547,Cavite,CALABARZON (Region IV-A),18:58.0,14.4417,120.9342
ST-0846,Cavite,CALABARZON (Region IV-A),41:11.5,14.3205,120.861
ST-2249,Cavite,CALABARZON (Region IV-A),14:11.2,14.318,120.971
ST-1042,Cavite,CALABARZON (Region IV-A),46:20.2,14.3963,120.96825
ST-1947,Cavite,CALABARZON (Region IV-A),44:37.8,14.3745,120.8291
ST-1133,Cavite,CALABARZON (Region IV-A),51:43.2,14.3744,120.92884
ST-4249,Cavite,CALABARZON (Region IV-A),41:58.5,14.318457,120.752484
ST-3350,Cavite,CALABARZON (Region IV-A),48:03.7,14.37092,120.824941
ST-3081,Cavite,CALABARZON (Region IV-A),28:17.1,14.3297,120.9397
ST-3277,Cavite,CALABARZON (Region IV-A),03:34.4,14.3952,120.9279
ST-3332,Cavite,CALABARZON (Region IV-A),37:57.3,14.2785,120.9158
ST-2044,Cavite,CALABARZON (Region IV-A),42:10.7,14.3993,120.9399
ST-3991,Cebu,Central Visayas (Region VII),10:26.1,10.316942,123.90195
ST-1797,Cebu,Central Visayas (Region VII),02:52.0,10.3107,124.0138
ST-1281,Cebu,Central Visayas (Region VII),19:06.0,10.3117,123.92115
ST-1271,Cebu,Central Visayas (Region VII),24:59.1,10.29759,123.8966
ST-3366,Cebu,Central Visayas (Region VII),04:04.6,10.3859,123.9214
ST-2993,Cebu,Central Visayas (Region VII),48:43.7,10.2985,123.8974
ST-3303,Cebu,Central Visayas (Region VII),40:48.8,9.6251,123.4792
ST-1045,Cebu,Central Visayas (Region VII),49:29.5,10.3079,124.0118
ST-1570,Cebu,Central Visayas (Region VII),18:55.1,10.30832,123.89383
ST-1375,Cebu,Central Visayas (Region VII),46:17.1,10.31101,123.89255
ST-3497,Cebu,Central Visayas (Region VII),46:01.9,10.0154,123.6192
ST-1618,Cebu,Central Visayas (Region VII),19:03.2,10.2994,123.8891
ST-1901,Cebu,Central Visayas (Region VII),20:16.1,10.3365,123.9337
ST-4234,Cebu,Central Visayas (Region VII),21:46.1,10.253912,123.83939
ST-1094,Cebu,Central Visayas (Region VII),09:48.5,10.3285,123.90532
ST-3027,Cebu,Central Visayas (Region VII),17:27.1,9.9384,123.3933
ST-2150,Cebu,Central Visayas (Region VII),05:03.8,10.3251,123.9161
ST-4857,Davao de Oro,Davao Region (Region XI),23:39.0,7.546495,126.024347
ST-4300,Davao del Norte,Davao Region (Region XI),18:57.4,7.432026,125.797009
